County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Trumbull County, OH",234.9328141,5,43,168,269,2163,3941,274,26,206442,4.1,4.5,1.4772727272727273,50,41.268361794326914,-80.76625904306492
"Itasca County, MN",234.8345185,0,62,1,44,107,716,18,0,45564,4.21,4.5,1.6,50,47.30562185489067,-93.5991237842965
"Wilkes County, NC",234.7043739,2,8,22,130,622,1326,72,5,69023,3.72,4.0,1.4146341463414633,50,36.15274335879109,-81.17872753607132
"Talbot County, MD",234.6365769,0,13,18,58,243,611,18,6,37931,4.13,4.0,1.8695652173913044,50,38.77095042510918,-76.15375211118601
"St. Mary's County, MD",234.4184689,0,12,51,194,753,1943,87,16,109633,3.69,3.5,1.6734693877551021,50,38.295707285600656,-76.54813170880283
"Payette County, ID",234.40955330000003,0,4,0,49,119,292,14,5,22610,3.9166666666666665,4.25,1.4,6,43.83283836285355,-116.60204980379233
"Murray County, GA",234.2934271,1,6,3,82,170,646,50,0,39267,3.4125,4.0,1.2083333333333333,40,34.78265528095996,-84.7788816839129
"Kane County, UT",234.1597796,0,6,0,11,26,76,6,1,7260,4.2,4.25,1.8461538461538463,50,37.22715793743153,-111.8119477784735
"Walla Walla County, WA",233.4957164,0,19,22,98,450,1550,105,15,59530,4.23,4.5,1.7551020408163265,50,46.12406136622093,-118.58014641248168
"Van Buren County, TN",232.8497224,0,1,0,12,15,89,5,0,5583,4.375,4.25,1,8,35.7205553895608,-85.40185663427876
"Golden Valley County, MT",232.8288708,0,0,0,2,2,1,0,0,859,3.9210526315789473,4.0,1.4545454545454546,38,46.07222099732322,-109.0989739172316
"Windham County, VT",232.5740475,0,8,18,76,306,701,38,1,43857,4.184210526315789,4.5,1.625,19,43.01672561695151,-72.75842836677701
"Lane County, KS",232.5581395,1,0,0,3,3,7,4,1,1720,4.0,4.0,1.5,50,38.35032128046853,-100.6816660225649
"Nome Census Area, AK",232.5111201,0,3,2,18,12,23,9,2,9892,3.735294117647059,4.0,1.9,17,60.95162645033569,-157.77117166552583
"Colonial Heights city, VA",232.5053873,0,2,9,30,57,881,41,7,17634,3.98,4.0,1.7446808510638299,50,37.245388857522165,-77.3956445344564
"Henry County, IA",232.4201365,0,5,0,42,68,228,19,5,20222,3.264705882352941,3.5,1.2608695652173914,34,41.307182297469645,-88.91224866474262
"Loudon County, TN",231.9219791,0,7,16,94,290,783,59,2,50448,4.01,4.0,1.525,50,35.76738819808049,-84.30158365224695
"Lackawanna County, PA",231.8504565,0,35,165,296,1023,3352,187,47,213931,4.27,4.0,1.625,50,41.411737399746144,-75.66048056144332
"Jones County, TX",231.6330127,0,3,8,35,120,320,18,2,19859,4.142857142857143,4.0,1,7,32.752937115481714,-99.895872976939
"Johnson County, IN",231.5594187,1,4,45,287,502,3068,98,7,145535,4.07,4.0,1.372093023255814,50,39.50302231434165,-86.08241226690532
"Mower County, MN",231.3931904,0,22,11,58,229,639,41,1,39327,4.18,4.25,1.5675675675675675,50,43.691968420839494,-92.81980549641428
"Graham County, KS",231.3922098,0,3,0,3,6,23,3,0,2593,3.7777777777777777,4.0,1.2,9,39.2732660238615,-99.94474009346516
"Deschutes County, OR",231.3894212,0,49,43,292,821,3607,187,65,165954,4.29,4.5,1.8333333333333333,50,44.07076850277895,-121.30651365392046
"Cooke County, TX",231.36714590000003,1,7,13,68,257,675,40,5,38467,3.66,3.5,1.4893617021276595,50,33.66252732433483,-97.14817365326249
"Lincoln County, MT",231.2435766,3,4,0,38,44,194,10,2,19460,4.28,4.5,1.631578947368421,50,48.51287504549334,-115.41522010511316
"Fayette County, PA",231.1128231,3,45,99,165,830,2206,153,63,134999,4.04,4.0,1.675,50,39.920741005129564,-79.68180042432944
"Morgan County, IL",230.9863975,0,14,8,59,127,398,6,4,35067,3.65,3.75,1.4324324324324325,50,39.726814150570895,-90.23669758925898
"Garrett County, MD",230.85416040000004,1,1,5,62,164,352,25,3,29889,4.166666666666667,4.0,2.066666666666667,18,39.49471315434053,-79.3104635545237
"Adams County, WA",230.7651964,0,8,8,28,184,505,59,10,19067,3.9,4.0,1.488888888888889,50,47.05117633052458,-118.99443659271384
"Fayette County, AL",230.64640130000004,1,9,3,26,52,110,17,7,16909,4.0,4.0,1.3666666666666667,50,33.78271263717373,-87.65533622596874
"McKean County, PA",230.3450522,0,17,3,79,178,558,19,8,42979,4.285714285714286,4.75,1.4,14,41.778257889511515,-78.56741780297655
"Dade County, GA",230.2053674,0,1,1,36,62,169,22,0,16507,3.8035714285714284,4.0,1.2777777777777777,28,34.84590335545493,-85.4944630386101
"Eastland County, TX",230.2000548,0,3,6,33,170,214,17,1,18245,4.06,4.5,1.2162162162162162,50,32.35689980002506,-98.82775408843179
"Montezuma County, CO",230.0912565,1,1,5,52,60,326,25,1,25642,3.84,4.0,1.6666666666666667,50,37.34081363000365,-108.56677029852716
"Chautauqua County, NY",229.18545240000003,2,27,60,216,814,2628,85,34,133080,4.0125,4.0,1.8846153846153846,40,42.25885164393357,-79.44521929552974
"Vigo County, IN",229.012568,6,38,90,114,1350,3560,351,54,108291,4.06,4.0,1.5217391304347827,50,39.448848368137945,-87.4047095835699
"Sherman County, KS",228.9452167,0,1,1,12,26,83,8,4,6115,3.4782608695652173,3.5,1.1333333333333333,23,39.34463087750305,-101.71892116198744
"Payne County, OK",228.9226722,2,35,26,118,467,1706,96,10,79066,3.92,4.0,1.5416666666666667,50,36.12235328555461,-97.05834626723927
"Wapello County, IA",228.8717471,2,8,17,54,327,723,56,20,35391,4.04,4.0,1.425,50,41.018850410559,-92.41872005859265
"Clark County, IL",228.64911630000003,0,4,0,33,49,80,4,5,16182,3.6315789473684212,4.0,1.2142857142857142,19,39.38481581186929,-87.71336422342588
"Jefferson County, KS",228.5653537,0,3,0,40,118,302,40,4,18813,3.642857142857143,4.0,1.3333333333333333,7,39.19075797441354,-95.43209552907182
"Kaufman County, TX",228.4282662,2,33,35,178,718,1366,181,7,108568,3.125,3.0,1.1724137931034482,44,32.59648521954655,-96.30975134630903
"Keweenaw County, MI",228.2062985,0,2,0,2,10,22,2,1,2191,4.39,4.5,1.6857142857142857,50,47.305068533401005,-88.38167787162237
"Wichita County, KS",228.1021898,0,0,0,5,7,23,0,0,2192,3.95,4.0,1.4722222222222223,50,38.25551889798477,-101.02379712367105
"Baldwin County, AL",228.086325,8,30,76,332,967,3829,192,31,195540,4.37,4.5,1.9574468085106382,50,30.558908360768992,-87.84262697201022
"Butler County, KS",227.9531328,0,22,6,122,394,1273,98,9,65803,3.7875,4.0,1.1666666666666667,40,37.80999595368085,-96.85809519925259
"Shiawassee County, MI",227.8664731,2,46,11,98,297,908,35,10,68900,3.88,4.0,1.5128205128205128,50,42.99549363346302,-84.15886866084655
"Livingston County, IL",227.8321898,1,13,7,66,144,657,20,91,38186,3.588888888888889,3.5,1.2903225806451613,45,40.87616995860575,-88.63553555522947
"Dutchess County, NY",227.6738202,5,30,161,480,897,4133,145,41,296916,3.92,4.0,1.8837209302325582,50,41.73966622506812,-73.77756722764245
"Jones County, MS",227.6649121,1,25,42,89,678,1107,26,3,68961,3.82,4.0,1.4390243902439024,50,31.677364469433748,-89.15556174466681
"Klamath County, OR",227.58306780000004,2,22,38,88,319,945,140,22,65910,4.2,4.5,1.5,50,42.35624704946871,-121.76478293799067
"Grand Forks County, ND",226.9474841,0,26,21,110,270,1308,101,3,69179,3.78,3.75,1.826086956521739,50,47.913619182276165,-97.06460987315639
"Calaveras County, CA",226.8898124,0,18,9,74,391,662,96,2,44515,4.06,4.0,1.6666666666666667,50,38.11242413014118,-120.5021672038177
"Madison County, IL",226.7751894,12,84,118,392,1413,4303,177,40,267225,3.95,4.0,1.7346938775510203,50,38.79384187940037,-89.95869380326373
"Thomas County, KS",226.4720684,0,6,2,10,34,128,13,0,7948,2.8636363636363638,3.0,1.15,22,39.37024339796261,-101.05098299876946
"Cambria County, PA",226.3361305,6,30,47,235,649,1803,94,9,140499,3.83,4.0,1.3333333333333333,50,40.46494892461058,-78.69560158514899
"Jefferson County, CO",226.1697215,8,172,238,830,2186,11565,1151,69,551798,4.06,4.0,1.75,50,39.5754100769767,-105.19005781514365
"Asotin County, WA",226.1420172,0,4,6,40,100,611,33,1,22110,4.02,4.0,1.7391304347826086,50,46.41110276262456,-117.02159384628447
"Poweshiek County, IA",225.7943121,0,6,2,34,74,144,18,6,18601,3.7,3.0,1.3333333333333333,5,41.6149260605399,-92.50992448294664
"Larimer County, CO",225.6414801,3,87,75,548,1098,6270,252,52,315988,4.42,4.5,1.7346938775510203,50,40.41157305214573,-105.31428581903968
"Waller County, TX",225.5988322,5,13,19,65,286,499,48,6,45213,3.0185185185185186,3.0,1.3888888888888888,27,30.04990687440596,-95.9317275826907
"Northumberland County, PA",225.3497173,3,21,6,182,317,1042,62,12,94076,4.02,4.0,1.510204081632653,50,40.899161921433624,-76.63583176534391
"Cass County, IL",225.1576103,0,1,0,29,11,29,2,0,13324,4.23,4.5,1.4594594594594594,50,39.918893413123115,-90.29130008294864
"Cannon County, TN",225.0453721,0,0,0,31,60,106,26,1,13775,3.764705882352941,4.0,1.5,17,35.82976467062418,-86.05500388510113
"Calhoun County, WV",224.7488102,1,3,1,12,14,27,2,8,7564,3.5454545454545454,3.5,1.2,33,38.81485830917576,-81.12628551659226
"Bossier Parish, LA",224.5140241,3,21,60,194,519,2575,78,4,123823,3.92,4.0,1.5777777777777777,50,32.550265842825844,-93.68995811678063
"Pender County, NC",224.0936856,1,11,14,98,206,713,43,5,55334,2.9318181818181817,3.0,1.0588235294117647,22,34.53276909301163,-77.91096267987157
"Boyle County, KY",224.03750040000003,2,9,27,27,192,492,21,4,29013,3.94,4.0,1.3823529411764706,50,37.632021258893474,-84.78031466985065
"Mercer County, PA",223.9680542,2,32,70,154,645,1946,69,9,115195,3.6481481481481484,4.0,1.375,27,41.22564201176498,-80.22598265628294
"Gilmer County, GA",223.9406557,0,6,0,58,127,410,12,0,28579,3.92,4.0,1.4285714285714286,50,34.68337585610314,-84.47571778766411
"Gladwin County, MI",223.5907896,1,17,1,38,158,246,15,5,25493,3.380952380952381,3.5,1.1764705882352942,21,43.99542001495308,-84.45884631235518
"Covington city, VA",223.4444826,1,0,1,11,26,119,3,4,5818,3.611111111111111,4.0,1.4210526315789473,27,37.757584621693766,-79.97672004105645
"Wilcox County, GA",223.2142857,0,5,1,14,59,55,6,0,8960,3.99,4.0,1.3658536585365855,50,31.95863966206264,-83.58068482558889
"Boone County, WV",222.9194188,0,2,2,50,116,265,33,3,24224,3.7142857142857144,3.5,1.4,7,38.124329773618044,-81.91503639075974
"Benton County, WA",222.7811324,1,64,58,288,890,3408,260,36,184486,4.11,4.0,1.6808510638297873,50,46.27310310653873,-119.29527094679844
"Morton County, KS",222.7171492,0,1,0,6,7,29,2,0,3143,4.03,4.0,1.3214285714285714,50,36.99682026246007,-101.56967773839435
"Vernon Parish, LA",222.4080903,1,14,5,97,63,868,77,9,52606,3.77,4.0,1.4523809523809523,50,31.11178340504843,-93.25417262439063
"Sanilac County, MI",222.365684,1,32,3,58,178,392,23,6,41823,3.1333333333333333,3.0,1.1818181818181819,15,43.42143785915583,-82.82828145710715
"Fond du Lac County, WI",222.0082909,0,41,13,172,251,1480,54,6,101798,3.91,4.0,1.6444444444444444,50,43.771126944872094,-88.4568252920757
"Burnett County, WI",221.743951,0,2,2,30,137,236,38,2,15333,3.78,4.0,1.2857142857142858,25,45.867211816074494,-92.37891981224743
"Terrell County, TX",221.4839424,0,0,0,2,3,0,0,0,903,3.44,3.5,1.46875,50,30.757309985613706,-102.59524687755626
"Gwinnett County, GA",221.22555,39,198,807,857,4849,12877,1305,65,859304,4.22,4.0,1.7346938775510203,50,33.9694022338711,-84.06702035870656
"Boise County, ID",220.7505519,0,2,2,11,33,109,13,1,6795,4.39,4.5,1.88,50,43.61605843422418,-116.22053914208767
"Hawaii County, HI",220.6256125,5,41,74,301,1184,3751,443,19,190821,4.43,4.5,1.8636363636363635,50,19.661412350962745,-155.3250549434867
"Winchester city, VA",220.4585538,1,9,17,33,162,1011,29,5,27216,4.1,4.0,1.7872340425531914,50,39.17143982192753,-78.16728103020944
"Dane County, WI",220.2224188,9,149,291,675,2364,10343,370,57,509939,4.24,4.0,1.872340425531915,50,43.07292992741009,-89.39337967060024
"Barton County, MO",219.9592668,1,7,0,19,84,191,17,5,12275,3.764705882352941,4.0,1.1,17,37.493812071094275,-94.28309330468099
"Rush County, KS",219.7112367,0,1,0,5,26,28,3,0,3186,3.9,4.0,1.4545454545454546,50,38.76495390298753,-99.23135140987539
"Russell County, VA",219.360317,1,8,3,50,124,337,10,5,28264,3.142857142857143,3.0,1.5,21,36.90817484144577,-82.05805771502402
"Milam County, TX",219.3073199,2,1,6,44,145,421,20,2,24167,3.76,4.0,1.25,25,30.84483112312171,-96.96769713332577
"Clare County, MI",219.1762897,1,25,1,39,159,340,18,3,30569,3.8684210526315788,4.0,1.3636363636363635,19,44.01836949780406,-84.81007112961126
"Live Oak County, TX",219.0949692,0,4,1,21,84,110,20,11,11867,3.391304347826087,3.5,1.3125,23,28.386011026395977,-98.12917317500755
"Creek County, OK",218.532709,4,21,16,113,341,757,116,16,70470,3.2,3.5,1.2,25,35.85293622464679,-96.3974365591319
"Rich County, UT",218.5314685,0,0,0,5,8,26,1,0,2288,4.25,4.5,1.510204081632653,50,41.58043741721499,-112.02991822594848
"Walker County, GA",218.4814804,0,8,31,110,518,1310,103,0,68198,3.6222222222222222,3.5,1.2962962962962963,45,34.789034387384596,-85.27556979480443
"Orange County, CA",217.9900031,51,398,2132,4208,11819,48899,7103,298,3114363,4.14,4.0,1.72,50,33.673070274247465,-117.77726171800424
"Harrisonburg city, VA",217.9200311,1,17,24,70,152,891,27,6,51395,4.26,4.5,1.5918367346938775,50,38.44021326444715,-78.86501032242083
"New Madrid County, MO",217.8056085,2,1,3,34,27,130,11,5,18365,3.6363636363636362,4.0,1,11,36.58326506947,-89.54912149179209
"Bibb County, AL",217.6616915,1,4,8,36,122,251,27,0,22512,2.875,3.0,1,8,33.044438403177026,-87.0225483994993
"Wheeler County, OR",217.2338885,0,0,0,3,0,0,0,0,1381,4.07,4.0,1.5294117647058822,50,44.48052773189772,-120.60131960732002
"Cook County, GA",216.805344,0,9,6,22,153,185,11,0,17066,3.2285714285714286,3.5,1.1428571428571428,35,31.144348235023564,-83.44054643106661
"Kingman County, KS",216.7261601,0,2,1,14,45,70,7,1,7844,3.142857142857143,4.0,1,7,37.646817489294484,-98.10342922239822
"Canyon County, ID",216.7234036,4,69,33,324,1050,2754,179,34,198871,3.99,4.0,1.3571428571428572,50,43.64476373046362,-116.68310425130989
"Pickens County, AL",216.4836864,5,2,1,34,74,135,5,0,19401,4.17,4.25,1.525,50,33.447991908034,-88.33345845516693
"Douglas County, WI",216.4650124,1,11,22,61,359,1199,92,23,43887,4.19,4.0,1.7391304347826086,50,46.77033558526007,-92.09682078875852
"Richland County, IL",216.2897046,0,10,1,24,51,238,7,7,16182,3.482142857142857,3.5,1.368421052631579,28,38.73046357696217,-88.0878421631385
"Dunn County, ND",216.24219130000003,0,2,0,7,10,29,6,0,4162,3.77,4.0,1.880952380952381,50,47.1476131982279,-102.88475679590555
"San Saba County, TX",216.2341983,1,0,0,12,9,41,3,1,6012,4.2727272727272725,4.5,1.5,22,31.19627346353329,-98.72018603643221
"Polk County, WI",216.211243,1,10,4,79,151,359,31,0,43476,3.8666666666666667,4.0,1.4666666666666666,45,45.43166066950648,-92.57386934317478
"St. Bernard Parish, LA",216.18140840000004,0,7,33,54,133,499,35,5,43482,4.21,4.0,2.1020408163265305,50,29.951881072187216,-90.07181464704985
"Nevada County, AR",215.9336288,0,1,4,14,61,120,9,5,8799,3.43,3.5,1.2758620689655173,50,33.713797135428564,-93.50805747680373
"Lebanon County, PA",215.5204228,3,25,64,200,381,2077,79,12,135486,4.0,4.0,1.56,50,40.343190309771444,-76.42996658139887
"Colusa County, CA",215.3759715,1,7,12,26,171,331,53,2,21358,4.18,4.0,1.6170212765957446,50,39.05856794798748,-122.20206139099848
"Anderson County, KS",215.2716221,0,0,0,17,73,122,10,3,7897,3.6875,4.0,1.1666666666666667,8,38.282307664534976,-95.24473692630403
"Pulaski County, IN",215.2687015,0,1,1,26,42,123,16,4,13007,3.590909090909091,4.0,1.375,11,41.04808188466429,-86.60596997489901
"Adair County, MO",215.0789926,0,1,2,52,115,572,15,4,25572,3.4,3.5,1.4411764705882353,45,40.19452269680202,-92.58730998723144
"Big Horn County, MT",214.6909983,0,6,1,21,4,89,14,0,13042,4.4,4.5,2,5,45.549780326233936,-107.4236824609892
"Powell County, MT",214.5002145,1,2,0,12,6,52,2,0,6993,4.17,4.5,1.5185185185185186,50,46.76632895083483,-112.8699510041544
"Isabella County, MI",214.3790107,2,49,3,97,309,1057,38,5,70436,3.86,4.0,1.488888888888889,50,43.5968581604535,-84.7693061888747
"Simpson County, KY",213.5671331,1,11,12,14,149,312,20,2,17793,3.272727272727273,3.5,1.1612903225806452,44,36.716617122187365,-86.56313512834392
"Runnels County, TX",213.405762,0,5,0,17,45,84,5,0,10309,3.642857142857143,4.0,1.25,14,31.720757824392223,-99.9873689304335
"Hale County, TX",212.5041942,2,7,10,57,243,794,24,5,35764,3.57,3.5,1.3714285714285714,50,34.29679654375233,-101.18691970473962
"Lyon County, KS",211.8770516,0,24,7,40,151,757,31,13,33510,3.86,4.0,1.2857142857142858,50,38.41214240585905,-96.19685438606473
"Sedgwick County, CO",211.8644068,0,0,0,5,6,13,1,0,2360,3.9,4.0,1.3333333333333333,25,40.8170302057146,-102.33084349743332
"Dawson County, MT",211.7522499,1,1,0,18,48,228,17,3,9445,3.63,3.5,1.6,50,47.34739192390797,-104.50821772087765
"Middlesex County, MA",211.2954517,8,242,757,2275,5181,18865,1376,91,1552802,3.96,4.0,1.8541666666666667,50,42.43726806275776,-71.45192129990328
"Ketchikan Gateway Borough, AK",211.23169930000003,0,9,4,16,31,284,8,1,13729,4.1,4.0,1.7894736842105263,50,55.349750542753576,-131.65823426796464
"Tyler County, WV",211.2284603,0,1,0,18,46,91,3,3,8995,3.89,4.0,1.394736842105263,50,39.49902136071697,-80.94680126003699
"Okanogan County, WA",211.2009322,0,12,9,66,276,477,64,5,41193,4.16,4.25,1.7727272727272727,50,48.444742464596146,-119.95968309970634
"Thurston County, WA",211.1377045,10,99,89,356,2150,5056,444,27,262388,4.15,4.0,1.653061224489796,50,47.02682118762763,-122.76032730324714
"Blount County, AL",210.8100636,1,11,9,101,397,865,86,9,57872,3.8461538461538463,4.0,1.5714285714285714,13,34.07127595289387,-86.61051919003958
"Clark County, WA",210.6724168,7,135,230,563,2421,7526,1699,93,443817,4.11,4.0,1.7209302325581395,50,45.77687570800821,-122.55110336378628
"Grant County, ND",210.3491796,0,1,1,3,11,8,3,0,2377,4.12,4.0,1.872340425531915,50,46.81057507936154,-100.79201420070117
"Cumberland County, IL",210.2568791,0,0,0,23,27,54,2,8,10939,3.625,3.75,1.1428571428571428,12,39.251239230015074,-88.16649161234761
"Piscataquis County, ME",210.2312544,0,2,2,32,113,187,9,2,17124,4.19,4.5,1.71875,50,45.501600317340475,-69.20888998112305
"Onslow County, NC",210.0205161,7,54,55,273,1321,3438,183,24,185220,4.1,4.0,1.7,50,34.7702958597742,-77.40325311129322
"Dent County, MO",209.7902098,0,6,1,26,67,212,15,0,15730,3.4473684210526314,3.5,1.2,19,37.636850328137754,-91.53725481092516
"Baker County, GA",209.5181084,0,0,0,7,7,20,3,0,3341,4.13,4.0,1.5813953488372092,50,31.56461591731759,-84.21060547741405
"Jefferson County, WA",209.4693443,0,15,2,46,199,481,40,12,30076,4.27,4.5,1.7954545454545454,50,48.07085226572259,-123.39558470680558
"Custer County, MT",209.1875157,0,3,0,22,18,203,16,2,11951,3.742857142857143,4.0,1.4615384615384615,35,46.459553162784225,-105.7625825060466
"Pulaski County, VA",208.6533167,1,8,11,52,218,893,40,5,34507,3.13265306122449,3.5,1.162162162162162,49,37.06681032987679,-80.71728456541848
"Zapata County, TX",208.47810980000003,0,1,1,28,73,80,14,1,14390,4.117647058823529,4.5,1.5,17,26.903997061287612,-99.26694092247925
"Pamlico County, NC",208.4459199,0,1,3,23,57,234,5,1,12953,3.125,3.25,1.1666666666666667,8,35.14276505,-76.81440863750001
"Nowata County, OK",208.4320227,0,1,1,20,53,103,15,0,10555,3.0,2.5,1.2,5,36.69875031032056,-95.63274544457148
"Iosco County, MI",208.4234535,0,19,3,31,202,366,14,14,25429,3.5833333333333335,3.75,1.7058823529411764,42,44.281730091114326,-83.51326206095754
"New London County, CT",208.2801386,5,42,99,425,662,2537,168,35,274150,3.85,4.0,1.8541666666666667,50,41.504583360230804,-72.09264603075427
"Spotsylvania County, VA",208.0912146,2,36,61,166,236,1937,156,11,127348,3.515625,3.5,1.391304347826087,32,38.247640024630016,-77.55534846785196
"Washington County, TX",207.9245615,1,5,9,56,175,505,31,1,34147,3.94,4.0,1.6341463414634145,50,30.16199025325863,-96.40078983344058
"Whatcom County, WA",207.8961779,2,78,68,281,1221,4614,236,22,206353,4.25,4.0,1.6,8,48.82417463910384,-122.01651919850212
"Dinwiddie County, VA",207.8555046,2,9,6,41,111,282,32,3,27904,4.0,4.0,1.25,5,37.05525367095204,-77.64139179936164
"Brantley County, GA",207.741089,1,9,5,23,229,119,0,0,18292,4.071428571428571,4.0,1.2,7,31.199823179138342,-81.98142592099819
"Belknap County, NH",207.7136543,0,29,13,83,359,1485,56,9,60179,3.96,4.0,1.7173913043478262,50,43.53992754448553,-71.46464660679625
"Camden County, MO",207.4688797,0,4,2,85,173,750,33,0,43862,3.91,4.0,1.6511627906976745,50,38.067176928930415,-92.73470074596865
"Brooks County, TX",207.2682051,1,2,0,11,44,91,2,4,7237,3.388888888888889,3.5,1.2857142857142858,18,27.199016580920762,-98.16023979112389
"Henderson County, KY",207.1331478,1,23,39,33,231,771,60,3,46347,3.75,4.0,1.5151515151515151,50,37.844641771048046,-87.58286971390574
"Stearns County, MN",207.1114852,6,87,58,164,442,3004,110,13,152092,3.4705882352941178,3.5,1.2,17,45.56259824747658,-94.52895923550376
"Morton County, ND",206.96792,2,13,5,40,66,489,50,5,28990,4.13,4.0,1.872340425531915,50,46.81052609864865,-100.79416935206838
"Crowley County, CO",206.6892146,0,0,0,11,1,1,0,0,5322,3.8461538461538463,4.0,1.3333333333333333,26,38.080299352025456,-103.70603638547185
"Ada County, ID",206.5004418,3,123,81,653,1479,6426,229,82,416464,3.71875,4.0,1.2941176470588236,32,43.54715069759977,-116.22169572438143
"Lewis County, WA",206.4437075,3,23,23,106,557,1365,118,13,75081,3.933333333333333,4.0,1.5454545454545454,15,46.579868046593404,-122.35922908837406
"Oakland County, MI",206.391478,33,241,610,1658,4787,15514,1822,175,1231640,4.2,4.5,1.4583333333333333,50,42.65482908296278,-83.37405477526848
"Marion County, OH",206.357636,2,20,71,43,1283,2057,57,16,65905,3.86,4.0,1.441860465116279,50,40.57982785996538,-83.10882503592002
"Weber County, UT",206.2728755,3,72,121,295,1307,5593,342,27,238519,4.24,4.5,1.553191489361702,50,41.22892295029649,-111.97343117250502
"Teller County, CO",206.2298604,0,5,0,43,52,179,12,3,23275,3.5454545454545454,3.75,1.5,22,38.96110799579565,-105.06414434564768
"Wabash County, IL",205.7436777,0,2,0,22,46,218,10,1,11665,3.5416666666666665,4.0,1.2222222222222223,12,38.41246371592822,-87.76333763254898
"Lenawee County, MI",205.6700407,4,46,22,132,335,1148,68,13,99188,3.65,3.5,1.5,50,41.89358350083962,-84.03929681198936
"Polk County, TX",205.2849967,0,24,12,58,357,703,69,9,45790,4.045454545454546,4.5,1.5,11,30.768532914694873,-94.90673096664452
"Johnson County, AR",205.0607444,2,12,1,38,271,445,10,3,25846,3.0806451612903225,3.5,1.25,31,35.48077927488002,-93.46785364814988
"Brule County, SD",204.9944092,0,3,0,8,18,74,8,0,5366,3.5681818181818183,3.5,1.4666666666666666,22,43.79548047853848,-99.26760830895324
"Logan County, CO",204.8997773,2,4,4,36,150,364,14,1,22450,3.5142857142857142,3.5,1.3103448275862069,35,40.62615764594841,-103.2145287522626
"Roberts County, SD",204.8580626,0,0,0,21,16,67,10,0,10251,4.24,4.5,1.3529411764705883,50,45.237886631924034,-96.83848817717278
"Pushmataha County, OK",204.7538503,0,5,0,18,79,97,21,7,11233,4.19,4.25,1.4318181818181819,50,34.36415252573327,-95.21963573021506
"Roane County, WV",204.6943231,0,4,0,26,37,148,12,2,14656,3.4285714285714284,3.5,1.125,14,38.7888840742742,-81.36112003522265
"Comanche County, KS",204.6035806,0,0,0,4,2,7,0,0,1955,4.08,4.0,1.6756756756756757,50,37.4355139915432,-99.36832466798393
"Murray County, OK",204.2007001,1,6,2,19,78,131,16,3,13712,3.7,4.0,1.3214285714285714,45,34.49672352986336,-97.03912305046384
"Schuylkill County, PA",204.192758,4,38,34,224,446,1760,93,28,146920,4.02,4.0,1.5555555555555556,50,40.707630895231866,-76.20052881932835
"Fayette County, TN",204.1871285,1,4,11,63,126,292,27,2,38690,3.4,3.5,1.2,35,35.24652538112738,-89.14461234519227
"Brown County, IL",204.0816327,0,0,0,14,14,22,1,2,6860,3.7777777777777777,4.0,1.25,9,39.98130817349633,-90.7442387627005
"Amelia County, VA",204.0015692,0,1,0,25,35,104,12,2,12745,4.0,4.0,1.375,13,37.3635277877674,-77.92723927649605
"St. Clair County, AL",203.9208416,9,15,20,132,341,1166,67,16,86308,3.292682926829268,3.5,1.3,41,33.62563933356108,-86.30012442465586
"Branch County, MI",203.8992875,1,37,2,49,194,515,15,9,43649,3.35,3.5,1.5,50,41.92655085146895,-85.00675087955291
"Lincoln County, OK",203.7786382,1,4,2,63,275,373,55,6,34351,4.065217391304348,4.0,1.3333333333333333,23,35.69215750766992,-96.89062975442644
"Kiowa County, OK",203.4043464,0,4,4,11,98,141,13,2,9341,3.96,4.0,1.2894736842105263,50,34.736463287261614,-99.255919687567
"Ellsworth County, KS",203.1884964,0,4,0,9,32,64,2,0,6398,3.75,4.0,1.6666666666666667,10,38.72864278034827,-98.21375726724888
"Montgomery County, NC",203.1119655,4,6,6,40,241,549,31,3,27571,3.4375,3.5,1.1538461538461537,24,35.36453684031782,-79.84853811378413
"Humphreys County, TN",202.817519,0,0,0,37,74,234,8,1,18243,3.210526315789474,3.0,1.2307692307692308,19,36.08463549843499,-87.80116423195489
"Pine County, MN",202.7212754,0,11,2,46,198,774,77,1,29104,4.2,4.0,1.5,50,45.92121271175153,-92.70705066491377
"Titus County, TX",202.5720512,0,0,4,62,272,587,43,6,32581,3.52,3.5,1.3888888888888888,50,33.54743601395748,-93.11361697879936
"Harrison County, MS",202.5445293,10,62,170,156,2176,5266,350,34,196500,4.16,4.0,1.6326530612244898,50,30.39818597392499,-89.0799585751893
"Greene County, NY",202.2495099,0,7,6,85,213,437,21,1,48455,4.11,4.0,1.9743589743589745,50,42.257742542813226,-74.17120168336844
"Clay County, KS",202.2364977,0,3,0,14,46,99,8,3,8406,3.5416666666666665,3.5,1,12,39.37750464110499,-97.13054693603638
"Coffey County, KS",202.0922492,0,0,0,17,20,68,4,0,8412,2.6666666666666665,2.5,1.1428571428571428,9,38.2088592079434,-95.73810060229775
"Izard County, AR",201.9748654,0,8,1,18,148,197,14,5,13368,4.071428571428571,4.0,1.25,7,36.060392795881846,-91.89063921534769
"Jefferson County, MO",201.9006667,6,35,32,374,653,3431,268,28,221396,3.58,3.5,1.391304347826087,50,38.2456658256051,-90.46290053697184
